City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Ponta Do Sol,32.6667,-17.1,71.01,73,100,5.79,PT,2022-09-28 00:34:54
68,Aripuana,-9.1667,-60.6333,75.85,76,65,1.3,BR,2022-09-28 00:34:59
69,Walvis Bay,-22.9575,14.5053,54.55,82,8,8.05,NA,2022-09-28 00:35:05
70,East London,-33.0153,27.9116,69.17,94,100,21.94,ZA,2022-09-28 00:35:10
71,Tiksi,71.6872,128.8694,32.45,86,100,19.6,RU,2022-09-28 00:35:16
72,Luderitz,-26.6481,15.1594,55.94,66,24,12.37,NA,2022-09-28 00:35:22
73,Quatre Cocos,-20.2078,57.7625,70.09,61,92,12.93,MU,2022-09-28 00:35:27
74,Kidal,18.4411,1.4078,90.95,25,22,6.82,ML,2022-09-28 00:35:33
75,Basoko,1.2391,23.616,70.36,97,62,3.94,CD,2022-09-28 00:35:38
76,Cabo San Lucas,22.8909,-109.9124,88.9,62,0,10.36,MX,2022-09-28 00:35:43
77,Leningradskiy,69.3833,178.4167,29.21,82,100,5.35,RU,2022-09-28 00:35:54
78,Cape Town,-33.9258,18.4232,55.11,84,0,1.14,ZA,2022-09-28 00:33:15
79,Westport,41.1415,-73.3579,64.74,68,0,8.05,US,2022-09-28 00:36:04
80,Coahuayana,18.7333,-103.6833,78.62,91,100,3.31,MX,2022-09-28 00:36:10
81,Jilib,0.4883,42.7854,72.59,92,20,5.23,SO,2022-09-28 00:36:15
82,Prince Rupert,54.3161,-130.3201,62.69,89,100,6.91,CA,2022-09-28 00:36:20
83,Qaanaaq,77.484,-69.3632,31.12,93,95,6.33,GL,2022-09-28 00:36:31
84,Narsaq,60.9167,-46.05,43.02,94,100,2.13,GL,2022-09-28 00:36:36
85,Pontes E Lacerda,-15.2261,-59.3353,73.76,89,78,3.91,BR,2022-09-28 00:36:42
86,Litovko,49.2361,135.1742,60.08,74,95,11.72,RU,2022-09-28 00:36:47
87,Norwich,52.6278,1.2983,45.32,88,33,8.05,GB,2022-09-28 00:36:52
88,Damnoen Saduak,13.5182,99.9547,82.04,99,100,5.77,TH,2022-09-28 00:36:58
89,Hermanus,-34.4187,19.2345,48.79,84,96,7.65,ZA,2022-09-28 00:37:08
90,Waipawa,-41.4122,175.5153,59.49,57,100,6.51,NZ,2022-09-28 00:39:14
91,Garowe,8.4054,48.4845,77.88,66,53,15.03,SO,2022-09-28 00:39:19
92,Kalmunai,7.4167,81.8167,78.93,81,100,5.7,LK,2022-09-28 00:39:25
93,Kulhudhuffushi,6.6221,73.07,81.93,70,99,14.74,MV,2022-09-28 00:39:30
94,Chapais,49.7834,-74.8492,51.58,91,100,5.48,CA,2022-09-28 00:39:35
95,Vaini,-21.2,-175.2,77.16,88,75,4.61,TO,2022-09-28 00:39:40
96,Viedma,-40.8135,-62.9967,47.44,48,0,9.82,AR,2022-09-28 00:39:51
97,Tuktoyaktuk,69.4541,-133.0374,32.0,100,100,20.71,CA,2022-09-28 00:39:56
98,Nouakchott,18.0858,-15.9785,84.13,74,74,10.51,MR,2022-09-28 00:40:02
99,Amahai,-3.3333,128.9167,83.7,68,89,1.88,ID,2022-09-28 00:40:07
100,Palu,-0.8917,119.8707,85.93,61,93,2.68,ID,2022-09-28 00:40:12
101,Castro,-24.7911,-50.0119,58.33,98,100,3.24,BR,2022-09-28 00:40:18
102,Calatayud,41.3535,-1.6432,55.67,69,7,4.81,ES,2022-09-28 00:40:23
103,Saint George,37.1041,-113.5841,90.95,25,0,10.36,US,2022-09-28 00:35:47
104,Lagoa,39.05,-27.9833,69.44,75,100,20.96,PT,2022-09-28 00:40:33
105,Puerto Ayora,-0.7393,-90.3518,66.54,93,79,5.99,EC,2022-09-28 00:40:39
106,Ostrovnoy,68.0531,39.5131,38.01,78,100,7.67,RU,2022-09-28 00:40:44
107,Nikolskoye,59.7035,30.7861,40.91,97,14,4.12,RU,2022-09-28 00:40:50
108,Posse,-14.0931,-46.3694,78.33,33,30,9.57,BR,2022-09-28 00:40:19
109,Kayes,14.0,-11.0,79.05,74,100,3.78,ML,2022-09-28 00:41:00
110,San Patricio,28.017,-97.5169,84.15,42,0,9.75,US,2022-09-28 00:41:06
111,Doha,25.2867,51.5333,84.18,61,0,5.75,QA,2022-09-28 00:39:36
112,Aklavik,68.2191,-135.0107,32.32,98,100,17.22,CA,2022-09-28 00:41:16
113,Port Elizabeth,-33.918,25.5701,65.32,99,100,18.41,ZA,2022-09-28 00:41:21
114,Bambous Virieux,-20.3428,57.7575,70.21,64,95,12.73,MU,2022-09-28 00:41:27
115,Colares,38.7992,-9.4469,64.76,91,5,31.0,PT,2022-09-28 00:41:32
116,Berlevag,70.8578,29.0864,48.15,76,100,9.22,NO,2022-09-28 00:41:38
117,Bethel,41.3712,-73.414,61.11,79,0,4.61,US,2022-09-28 00:41:37
118,Pemba,-12.974,40.5178,74.32,80,5,0.72,MZ,2022-09-28 00:41:49
119,Fairbanks,64.8378,-147.7164,42.76,89,100,5.75,US,2022-09-28 00:41:54
120,Madison,34.7334,-86.5667,63.75,55,0,0.0,US,2022-09-28 00:41:59
121,Carnarvon,-24.8667,113.6333,73.2,31,95,9.57,AU,2022-09-28 00:42:05
122,Provideniya,64.3833,-173.3,41.36,81,75,8.99,RU,2022-09-28 00:42:10
123,Ponta Delgada,37.7333,-25.6667,68.5,82,40,6.91,PT,2022-09-28 00:42:16
124,Dargaville,-35.9333,173.8833,64.29,62,100,8.95,NZ,2022-09-28 00:41:14
